Bio,Current_Title,Conferences,Affiliation,Education,Name
"Diane Cook is a Huie-Rogers Chair Professor in the School of Electrical Engineering and Computer Science at Washington State University. Dr. Cook received her B.S. from Wheaton College in 1985, and her M.S. and Ph.D. from the University of Illinois in 1987 and 1990, respectively. ,Diane's research interests include artificial intelligence, machine learning, data mining, robotics, smart environments, and parallel algorithms for artificial intelligence. She is one of the directors of the AI Laboratory. ,Diane is currently involved in organizing an NSF Workshop on Pervasive Computing at Scale. She is also serving as the general chair for the Ninth Annual IEEE International Conference on Pervasive Computing and Communications. ",Huie-Rogers Chair Professor ,"FLAIRS Conference
(32),Intelligent Environments
(13),Pervasive and Mobile Computing
(10),International Journal on Artificial Intelligence Tools
(9),Intelligent Environments (Workshops)
(7),ICDM Workshops
(6)","School of Electrical Engineering and Computer Science, Washington State University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Illinois </td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Illinois, Urbana, IL</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1990</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Illinois, Urbana, IL</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1987</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Wheaton College </td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Math/Computer  Science</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1985</td></tr>",Diane J. Cook
,Professor,"KDD
(7),BIOKDD
(5),BMC Bioinformatics
(4),Data Min. Knowl. Discov.
(4),ICDM
(3),J. Sensor Technology
(3)","Computer Science
University of Helsinki",,Hannu Toivonen
"Education ,M.S., Physics, University of Warsaw (1967) ,M.S., Philosophy, University of Warsaw (1970) ,Ph.D., Philosophy of Science, University of Warsaw (1972) ,Professional Experience ,Professor, Computer Science, UNC Charlotte (Sept. 1997 - Present),Professor, Computer Science, Wichita State University (1984 - 1997),Professor, Psychology, Carnegie-Mellon University (1982 - 1984),Professor, Philosophy, University of Warsaw (1970 - 1982),Visiting Professorship, Carnegie-Mellon University (Fall 1982),Visiting Professorship, George Mason University (1988 - 1990),Visiting Professorship, Humboldt University(Berlin), Moscow State University, University of Salzburg (Austria), London School of Economics, and the Inter-University Center (Dubrovnik, Yugoslavia),Research consists of ,Machine Discovery Laboratory,Discovery of Knowledge in Databases,Autonomous Robot Discoverer,Discovery of Hidden Structures,Discovery of New Theorems in Geometry,Published 150 Research Papers,Co-authored a Book and Edited a Number of Books, Proceedings, and Journal Issues,Has given many Invited Presentations at Scientific Meetings ,Areas of Specialization ,Artificial Intelligience ,Automation of Discovery ,Autonomous Robots ",Professor,"ISMIS
(11),PKDD
(8),AAAI
(4),J. Intell. Inf. Syst.
(3),KDD
(3),ML
(3)","Computer Science, UNC Charlotte","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Warsaw</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Philosophy of Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1972</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Warsaw</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Physics</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1967</td></tr>",J. M. Zytkow
,Professor,"VLDB
(10),ICDE
(7),PVLDB
(6),EDBT
(6),SIGMOD Conference
(4),DEXA
(4)","INS
",,M. L. Kersten
,,"Systems and Computers in Japan
(3),Discovery Science
(2),Neural Networks
(1),Progress in Discovery Science
(1),MDM/KDD
(1),IEEE Trans. Neural Netw. Learning Syst.
(1)",,,Hiroshi Tsukimoto
,,"Information and Management
(1),KDD Tutorial Notes
(1),BTW
(1),Advances in Knowledge Discovery and Data Mining
(1),KDD
(1),ICLP
(1)",,,M. Holsheimer
,,"ISMIS
(4),IEA/AIE
(2),J. Intell. Inf. Syst.
(2),Appl. Soft Comput.
(1),ISCC
(1),Appl. Intell.
(1)",,,Ibrahim F. Imam
,Professor of Computational Sciences,"Machine Learning
(10),ISMIS
(10),Intelligent Information Systems
(6),Artif. Intell.
(6),IJCAI
(5),J. Intell. Inf. Syst.
(4)","George Mason University
Computational Sciences
and Health Informatics
",,Ryszard S. Michalski
,,"PKDD
(3),ICANNGA (1)
(1),IJCNN
(1),KDD Workshop
(1)",,,Mikhail V. Kiselev
,researcher,"ILP
(4),KDD
(2),CoRR
(1),BMC Bioinformatics
(1),Computational Discovery of Scientific Knowledge
(1),J. Artif. Intell. Res. (JAIR)
(1)",Department of Computer Science,"<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">computer science </td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1998</td></tr>",Luc Dehaspe
"I used to work in the Machine Learning Research Group (subgroup of  DTAI) of the Department of Computer Science of the Katholieke Universiteit Leuven (from Sep 1, 1993 until Dec 31, 2002). ",,"ILP
(4),Applied Artificial Intelligence
(1),Journal of Machine Learning Research
(1),Machine Learning and Its Applications
(1),ILP Work-in-progress reports
(1),ISMIS
(1)",,,Wim Van Laer
,Research Director,"RIVF
(6),SARA
(6),EGC
(3),Bioinformatics
(3),PRIMA
(3),ICML
(3)",Research Institute for Development,,Jean-Daniel Zucker
"Luc De Raedt received his degree in Computer Science (Licentiaat Informatica) from the Katholieke Universiteit Leuven (Belgium) in 1986 and his Ph.D. in Computer Science (Dr. Informatica) from the same university in 1991. He worked at the Department of Computer Science of the Katholieke Universiteit Leuven (Belgium)  from 1986 till 1999, where he held positions as teaching assistant (1986-1991), post-doctoral researcher of the Fund for Scientific Research, Flanders (1991-1999), part-time assistant professor (1993-1998) and part-time associate professor (1998-1999). From 1999 till 2006 he was a (full) Professor (C4) of Computer Science of the Albert-Ludwigs-University Freiburg and chair of the Machine Learning and Natural Language Processing Lab research group. Since then, he has taken up a (full) research professorship (BOF) at the Department of Computer Science of the Katholieke Universiteit Leuven (Belgium), where he joined the lab for Declarative Languages and Artificial Intelligence. He lectures at the Katholieke Universiteit Leuven, and has also lectured at the Universities of Freiburg, Basel and Sienna. ",Professor,"ILP
(21),Machine Learning
(11),IJCAI
(11),CoRR
(9),ISMIS
(7),Artif. Intell.
(7)",Department of Computer Science，Katholieke Universiteit Leuven,"<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Katholieke Universiteit Leuven (Belgium)</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science </td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1991</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Katholieke Universiteit Leuven (Belgium)</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science </td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1986</td></tr>",Luc Raedt
,,"NeuroImage
(1),LCN
(1),Rel. Eng. & Sys. Safety
(1),VTC Spring
(1),Information Systems Security
(1),KDD Workshop
(1)",,,J. Thomas
,Associate researcher,"SBIA
(7),AAMAS
(5),IAT
(3),ISMIR
(2),AIIDE
(2),IBERAMIA-SBIA
(2)",Laboratoire d'Informatique de Paris 6,"<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Paris VI</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Informatique - Artificial Intelligence</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1997</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Brasilia</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science - Artificial Intelligence</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1992</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Federal University of Paraiba</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electronic Engineering</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1988</td></tr>",Geber Ramalho
,,"Data Knowl. Eng.
(2),ICIS
(2),ACM Trans. Database Syst.
(1),IEEE Trans. Knowl. Data Eng.
(1),VLDB J.
(1),KDD Workshop
(1)",,,Terence M. Barron
,University of Cincinnati,"Data Knowl. Eng.
(7),Decision Support Systems
(4),ER
(4),J. Database Manag.
(2),ER (Workshops)
(2),
(2)","University of Cincinnati 
331 Lindner Hall 
Cincinnati , OH 45221-0211 
USA",,Roger Chiang
"John Hughes (B.A., Mathematics, Princeton, 1977; Ph.D., Mathematics, U.C. Berkeley, 1982) is an Associate Professor of Computer Science at Brown University. His research is in computer graphics, particularly those aspects of graphics involving substantial mathematics. As author or co-author of 19 SIGGRAPH papers, he's done research in geometric modeling, user interfaces for modeling, non-photorealistic rendering, and animation systems. He's served as an associate editor for ACM Transaction on Graphics and the Journal of Graphics Tools, and has been on the SIGGRAPH program committee multiple times. He co-organized Implicit Surfaces '99, the 2001 Symposium in Interactive 3D Graphics, and the first Eurographics Workshop on Sketch-Based Interfaces and Modeling, and was the Papers Chair for SIGGRAPH 2002. He is a co-author of ""Computer Graphics: Principles and Practice,"" a standard reference work.","2. John Hughes (II) (Art Director, The Treasure of the Sierra Madre (1948))","UAI
(3),SEKE
(2),Hypertext
(2),Data Knowl. Eng.
(2),PAKDD
(2),IJCAI (1)
(2)",Associate Professor,,John G. Hughes
,Associate Professor,"BNCOD
(6),KSEM
(6),UAI
(5),Data Knowl. Eng.
(5),IEEE Trans. Knowl. Data Eng.
(4),Comput. J.
(4)","
University of Wyoming
College of Engineering
Department of Chemical & Petroleum Engineering
","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Colorado State University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1992</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> Rice University</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1979</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Washington</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1976</td></tr>",D. A. Bell
,senior lecturer,"RecSys
(5),AI Magazine
(4),ITWP
(4),ACM Trans. Internet Techn.
(2),CIKM
(2),Artificial Intelligence in Medicine
(2)","Department of Computer Science
University of Warwick",,Sarabjot Anand
,Professor,"Data Knowl. Eng.
(16),ER
(14),NLDB
(12),ICIS
(9),Decision Support Systems
(5),ACM Trans. Database Syst.
(5)","Computer Information Systems
College of Business Administration
Computer Scienc
 Georgia State University",,Veda C. Storey
,"Professor 
","GrC
(23),BIBM
(17),CIKM
(11),BMC Bioinformatics
(9),DaWaK
(6),IJBRA
(5)","College of Information Science and Technology
 Drexel University",,Xiaohua Hu
,,"KDD Workshop
(1)",,,Jinshi Xie
,,"Advances in Knowledge Discovery and Data Mining
(1),KDD Workshop
(1),Commun. ACM
(1),ICSE
(1)",,,Bharat Mitbander
" I was born in JinHua (near ShangHai), China, on December 25, some years ago. As a child, I did not know what Christmas was. (Who cared about those foreigners anyway, they were all Paper Tigers). I always complained to my mother: ""Why didn't you hold me for one day longer so I would have the same birthday as Chairman Mao!"",Following Chairman Mao's call, I went to the countryside to receive ""re-education"" from the Poor and Lower Middle Peasants after high school. I grew rice, tea, and peanuts and learned how to use Water buffalo in the fields and how to ride them home after a long and hard working day. Life was hard then, especially when we were told we would be there forever. I remember on a cold winter evening, I found a dusty old high school textbook in my only suitcase and started to fiddle with it. A friend came by and said: ""well, it may be useful for you someday, but not for us."" After that, I was motionless and started staring into the darkness outside my window......,Well, I have no complaints about those days --- they taught me well what life is about. After Chairman Mao died, the universities were reopened for public entrance examinations and I went to Beijing to attend the universities there. I did well all the way through and was honored to be selected to study abroad after graduation. In Beijing, I met two important people in my life: my wife Sai-Ying and my advisor Herbert A. Simon.,The rest of the story is ordinary by American standards. I learned how to speak English and how to drive (my first car was a Dodge Dart for $275). I flew a Cessna (never got my pilot's license though) and owned a sailboat. In the summer of 1996, I started enjoying driving a Mercedes-Benz 300E. Despite all these, I don't think I have changed much, I always followed the meaning of ""Wei Min"" (i.e., ""To serve the people"" in English), a principle given to me by my parents since I was born.","Director,
Associate Director,
Project Leader,
Research Associate Professor","IROS
(18),ICRA
(16),Auton. Robots
(4),RoboCup
(4),ROBIO
(3),ICMAS
(3)","Polymorphic Robotics Laboratory 
USC Center for Robotics and Embedded Systems 
Information Sciences Institute
Computer Science Department","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Carnegie Mellon University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Jiao-Tong University</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electronics and Computer Engineering</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1""></td></tr>",Weimin Shen
"Carlo Zaniolo was born in Vicenza, Italy. He received an E.E. Engineer degree at Padua University in 1968, and M.S. and Ph.D. degrees in Computer Science at UCLA in 1970 and 1976, respectively. After working at Bell Laboratories, Murray Hill, NJ, and MCC in Austin Texas, Dr. Zaniolo joined the UCLA CS Department in 1991, and was awarded the N.E. Friedmann Chair in Knowledge Science. Dr. Zaniolo's interests include database systems, knowledge base systems, non-monotonic reasoning, spatio/temporal reasoning, internet information systems, Data Mining.",Professor,"ICDE
(14),SIGMOD Conference
(10),VLDB
(9),PODS
(8),PVLDB
(6),EDBT
(6)",UCLA Computer Science Department,"<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">UCLA</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1976</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">UCLA</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1970</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Padua University </td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">E.E. Engineer</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1968</td></tr>",Carlo Zaniolo
,Professor and Dean,"Computational Intelligence
(14),ISMIS
(8),Canadian Conference on AI
(8),PAKDD
(8),Computers & Mathematics with Applications
(7),GrC
(7)","Faculty of Science and Engineering, York University, Canada

 
","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">The University of Alberta</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1975</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> The Ohio State University </td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1970</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""> The University of Steubenville</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Engineering Science</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1968</td></tr>",N. Cercone
,,"TPLP
(1),CoRR
(1),Distributed and Parallel Databases
(1),Advances in Knowledge Discovery and Data Mining
(1),DASFAA
(1),SIGMOD Conference
(1)",,,KayLiang Ong
,,"Machine Learning
(2),KDD
(2),Journal of Biomedical Informatics
(1),CPR
(1),Kognitionswissenschaft
(1),Assistive Technology and Artificial Intelligence
(1)",,,John M. Aronis
"Professor Provost studies data mining, knowledge systems, and machine learning and about their alignment with business problems.   He teaches graduate courses on information technologies and how they affect business and business strategy. ,Prof. Provost is Editor-in-Chief of the journal Machine Learning.  He won IBM Faculty Awards in 2000 and in 2001 for outstanding research in data mining and machine learning.  He was elected as a founding board member of the International Machine Learning Society. He is a member of the editorial boards of the Journal of Machine Learning Research (JMLR) and the Journal of Artificial Intelligence Research (JAIR).  In 2001, he co-chaired the program of the premier data mining conference (KDD-2001). ,His special issue of the journal Data Mining and Knowledge Discovery, on eCommerce and Data Mining, is available as a book. A Machine Learning editorial essay of his has been recommended reading for authors of applied research papers. ,Professor Provost advises small and large companies who are interested in extracting useful knowledge from their data.  He served as an expert witness on a recent case involving customer profiling and fraud detection systems.  He also advises the U.S. Government (National Science Foundation, NASA, DARPA, National Research Council, White House Office of Science and Technology Policy) on policy and investments in data mining research. ,He has applied advanced technologies to a variety of business problems, including fraud detection and customer contact management.  For the last ten years, his research has focused on the issues involved with aligning data mining technologies with real-world problems, making several notable technical advances including robust modeling in the face of imprecision in the business environment, and profiling/monitoring on-line activity. ",Professor,"KDD
(15),Machine Learning
(7),Data Min. Knowl. Discov.
(4),CoRR
(3),SIGKDD Explorations
(3),Journal of Machine Learning Research
(3)","Dept. of Information and Management Sciences 
Leonard N. Stern School of Business 
New York University",,Foster Provost
,,"
(2),Advances in Knowledge Discovery and Data Mining
(1),KDD Workshop
(1)",,,J. Clifford
,Co-Director,"IUI
(20),AAAI
(8),ACM Multimedia
(5),ICWSM
(4),IJCAI
(4),Advances in Computer Entertainment Technology
(3)","Intelligent Information Laboratory
Department of Computer Science
Northwestern University","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Yale University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1986</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Yale University</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1982</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Yale University</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Philosophy</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1979</td></tr>",K. Hammond
,,"RecSys
(8),EC-Web
(4),AI Magazine
(4),WIDM
(2),User Model. User-Adapt. Interact.
(2),Mathematik für Ingenieure
(2)",,,Robin Burke
"Prof.   Johannes  F¨urnkranz obtained Master Degrees from the Technical University of Vienna ,and  the  University  of  Chicago,    and  a  Ph.D.  from  the  Technical  University  of  Vienna  with  a ,Thesis  on  Pruning  Algorithms  for  Rule  Learning.     Most  of  his  thesis  work  was  conducted  at  the ,Austrian  Research  Institute  for  Artiﬁcial  Intelligence,  with  which  he  was  aﬃliated  from  1992  to ,2002.  In 1997, he received a Erwin Schr¨odinger-Stipendium of the Austrian Fonds zur F¨orderung ,der wissenschaftlichen Forschung, which allowed him to spend a post-doc year at Tom Mitchell’s ,research  group  at  Carnegie  Mellon  University.     In  2001  he  received  his  habilitation  in  Artiﬁcial ,Intelligence  and  in  2002,  he  received  a  prestigious  APART  stipend  of  the  Austrian  Academy  of ,Sciences.  Since January 2004, he is Professor for Knowledge Engineering at the TU Darmstadt. ,His main research interest is machine learning, in particular inductive rule learning and preference ,learning,  and  their  applications  in  game  playing,    web  mining,   and  data  mining  in  the  Social ,Sciences.   He  has  published  more  than  80  scientiﬁc  articles  in  these  areas. Three  of  his  articles ,have received more than 200 citations in Google Scholar, seven articles are cited 10 or more times ,per year.  The h-Index of his publications is 23.",Professor,"ECML
(8),LWA
(7),Machine Learning
(4),ECAI
(4),IDA
(4),ICML
(3)","Knowledge Engineering Group, Fachbereich Informatik, TU Darmstadt ","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Technical  University  of  Vienna</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Efficient Pruning Methods for Relational Learning</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1994</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Chicago</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Artificial Intelligence</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1992</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Technical Mathematics</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1987</td></tr>",Johannes Furnkranz
,Associate Professor,"HICSS
(16),AMCIS
(6),Decision Support Systems
(4),ISI
(3),ICIS
(1),Information Technology and Management
(1)","Information Systems and Decision Sciences
College of Business Administration
University of South Florida","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">New York University</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Business Administration</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1997</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Master Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">State University of New York</td><th colspan=""1"" rowspan=""1"">Master Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Computer Science</td><th colspan=""1"" rowspan=""1"">Master Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1983</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Rhode Island</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1""></td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1979</td></tr>",Donald Berndt
,,"KDD Workshop
(1)",,,Kathryn Schmitt
,,"KDD Workshop
(1)",,,G. Holmes
,,"KDD Workshop
(1)",,,T. J. Monk
,,"Int. CMG Conference
(1),KDD Workshop
(1)",,,R. S. Mitchell
,"L.A. Smith • PO Box 394 • Bothell, WA 98041","Java Grande
(2),Concurrency and Computation: Practice and Experience
(1),SC
(1),Concurrency - Practice and Experience
(1),KDD Workshop
(1)",206-310-9465,,L. A. Smith
,member,"IBM Journal of Research and Development
(6),IEEE Trans. Knowl. Data Eng.
(3),IEEE Trans. Computers
(3),AAAI
(2),KDD
(1),ICDM
(1)","IBM Research, Emeritus, USA","<tr><th colspan=""1"" rowspan=""1"" style=""width:80px"">Phd Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">University of Illinois</td><th colspan=""1"" rowspan=""1"">Phd Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electrical Engineering</td><th colspan=""1"" rowspan=""1"">Phd Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1969</td></tr>,<tr><th colspan=""1"" rowspan=""1"">Bachelor Univ.</th><td colspan=""1"" rowspan=""1"" class=""w1"">Seoul National University</td><th colspan=""1"" rowspan=""1"">Bachelor Major</th><td colspan=""1"" rowspan=""1"" class=""w1"">Electronic Engineering</td><th colspan=""1"" rowspan=""1"">Bachelor Date</th><td colspan=""1"" rowspan=""1"" class=""w1"">1965</td></tr>",Se June Hong
